Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HEMK1,1778.5290365670742,-0.3984549344473565,0.1243692135442672,-3.2038068191653637,0.0013562344460692588,0.004240901904541701
CISH,6652.580913284538,-0.5473561543288284,0.1093780995130117,-5.004257312623306,5.607781027573909e-7,3.4503406353418023e-6
MAPKAPK3,4294.0690468329385,-0.19566561478723554,0.10591379876501741,-1.8474043709955432,0.06468855618074991,0.1255759955972614
ACVR2B,2845.806323907109,-0.19549862279015617,0.1206612812968142,-1.620226643452011,0.10518360007835709,0.18759662800074514
WDR48,2350.027531392334,0.31448246254007983,0.11213201775526202,2.804573295260462,0.005038323089445745,0.013718582685264024
COMMD2,957.69990254447,0.6688358022256544,0.14766097052417904,4.529536815662028,5.911313369880678e-6,2.9842137543600526e-5
GORASP1,5004.948981499948,-0.6588866225290188,0.11031566438216919,-5.972738560921159,2.3330362014176967e-9,2.2443039621680408e-8
PEX5L,4.719755312602091,0.5716426280816977,1.850695216338027,0.30887994037873384,0.7574128564408189,NA
RRP9,2984.121701848334,-0.5945802110708822,0.12015956571245572,-4.948255326535756,7.488164146114517e-7,4.498562757068191e-6
ABCC5,3687.668141157941,0.10622865943592291,0.09936614822660232,1.0690628683087402,0.28504134180314955,0.41308142075591925
ABHD14B,3041.9093934230777,-0.5022978299040048,0.11438435383348705,-4.3913158842966915,1.1266671690478217e-5,5.3838692277844765e-5
EIF1B,2598.5345348975293,0.6148401560286293,0.11386772067093871,5.399600100940184,6.678960892856544e-8,4.906058769059071e-7
ABHD14A-ACY1,3563.48489189645,-0.35941427503616274,0.10417904643284694,-3.449967026410043,5.606550292505298e-4,0.0019080914648216096
ARHGEF26,9.520091558740983,-0.06902490395994221,1.1414201633692627,-0.060472826900300564,0.9517790572233538,NA
KLHL24,1514.678676084567,0.09280324443009519,0.12597776056551208,0.7366637096381374,0.461326881073394,0.5935358463327224
PLCH1,23.918773785071565,0.3819080275048675,0.7390451446697224,0.516758726120231,0.6053245953915221,0.7194684131396989
VIPR1,25.998432241086277,-2.9151797618252657,0.8458566119063784,-3.446423094400219,5.680602250276644e-4,0.0019293253109689149
DNAH1,515.066542611273,-0.7017389400286369,0.19509377440543643,-3.59693148675421,3.2199325082238935e-4,0.0011542112285752918
SSR3,5615.73925983003,0.8865035572296521,0.09328104289448359,9.503576822489382,2.028020306310283e-21,1.6847842335477267e-19
ZBTB47,447.13139045175785,-0.7747831317575525,0.19528021433956821,-3.9675454801083956,7.261665748974147e-5,2.9719441520586874e-4
TNNC1,10.246724728166088,-0.5400454815868942,1.1073250229334346,-0.4877027705526333,0.6257603890487724,NA
